id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,application_type
1077501,1296599,5000,5000,4975, 36 months,10.65%,162.87,B,B2,,10+ years,RENT,24000,Verified,11-Dec,Fully Paid,n,credit_card,Computer,860xx,AZ,27.65,0,Jan-85,735,739,1,,,3,0,13648,83.70%,9,f,0,0,5863.155187,5833.84,5000,863.16,0,0,0,15-Jan,171.62,,16-Sep,744,740,INDIVIDUAL
1077430,1314167,2500,2500,2500, 60 months,15.27%,59.83,C,C4,Ryder,< 1 year,RENT,30000,Source Verified,11-Dec,Charged Off,n,car,bike,309xx,GA,1,0,Apr-99,740,744,5,,,3,0,1687,9.40%,4,f,0,0,1008.71,1008.71,456.46,435.17,0,117.08,1.11,13-Apr,119.66,,16-Sep,499,0,INDIVIDUAL
1077175,1313524,2400,2400,2400, 36 months,15.96%,84.33,C,C5,,10+ years,RENT,12252,Not Verified,11-Dec,Fully Paid,n,small_business,real estate business,606xx,IL,8.72,0,1-Nov,735,739,2,,,2,0,2956,98.50%,10,f,0,0,3005.666844,3005.67,2400,605.67,0,0,0,14-Jun,649.91,,16-Sep,719,715,INDIVIDUAL
1076863,1277178,10000,10000,10000, 36 months,13.49%,339.31,C,C1,AIR RESOURCES BOARD,10+ years,RENT,49200,Source Verified,11-Dec,Fully Paid,n,other,personel,917xx,CA,20,0,Feb-96,690,694,1,35,,10,0,5598,21%,37,f,0,0,12231.89,12231.89,10000,2214.92,16.97,0,0,15-Jan,357.48,,16-Apr,604,600,INDIVIDUAL
1075358,1311748,3000,3000,3000, 60 months,12.69%,67.79,B,B5,University Medical Group,1 year,RENT,80000,Source Verified,11-Dec,Current,n,other,Personal,972xx,OR,17.94,0,Jan-96,695,699,0,38,,15,0,27783,53.90%,38,f,270.78,270.78,3784.49,3784.49,2729.22,1055.27,0,0,0,16-Sep,67.79,16-Oct,16-Sep,694,690,INDIVIDUAL
1075269,1311441,5000,5000,5000, 36 months,7.90%,156.46,A,A4,Veolia Transportaton,3 years,RENT,36000,Source Verified,11-Dec,Fully Paid,n,wedding,My wedding loan I promise to pay back,852xx,AZ,11.2,0,4-Nov,730,734,3,,,9,0,7963,28.30%,12,f,0,0,5632.21,5632.21,5000,632.21,0,0,0,15-Jan,161.03,,16-Jan,679,675,INDIVIDUAL
1069639,1304742,7000,7000,7000, 60 months,15.96%,170.08,C,C5,Southern Star Photography,8 years,RENT,47004,Not Verified,11-Dec,Fully Paid,n,debt_consolidation,Loan,280xx,NC,23.51,0,5-Jul,690,694,1,,,7,0,17726,85.60%,11,f,0,0,10137.84001,10137.84,7000,3137.84,0,0,0,16-May,1313.76,,16-Sep,654,650,INDIVIDUAL
1072053,1288686,3000,3000,3000, 36 months,18.64%,109.43,E,E1,MKC Accounting ,9 years,RENT,48000,Source Verified,11-Dec,Fully Paid,n,car,Car Downpayment,900xx,CA,5.35,0,7-Jan,660,664,2,,,4,0,8221,87.50%,4,f,0,0,3939.135294,3939.14,3000,939.14,0,0,0,15-Jan,111.34,,14-Dec,689,685,INDIVIDUAL
1071795,1306957,5600,5600,5600, 60 months,21.28%,152.39,F,F2,,4 years,OWN,40000,Source Verified,11-Dec,Charged Off,n,small_business,Expand Business & Buy Debt Portfolio,958xx,CA,5.55,0,4-Apr,675,679,2,,,11,0,5210,32.60%,13,f,0,0,646.02,646.02,162.02,294.94,0,189.06,2.09,12-Apr,152.39,,16-Sep,499,0,INDIVIDUAL
1071570,1306721,5375,5375,5350, 60 months,12.69%,121.45,B,B5,Starbucks,< 1 year,RENT,15000,Verified,11-Dec,Charged Off,n,other,Building my credit history.,774xx,TX,18.08,0,4-Sep,725,729,0,,,2,0,9279,36.50%,3,f,0,0,1476.19,1469.34,673.48,533.42,0,269.29,2.52,12-Nov,121.45,,16-Sep,519,515,INDIVIDUAL
1070078,1305201,6500,6500,6500, 60 months,14.65%,153.45,C,C3,Southwest Rural metro,5 years,OWN,72000,Not Verified,11-Dec,Fully Paid,n,debt_consolidation,High intrest Consolidation,853xx,AZ,16.12,0,Jan-98,695,699,2,,,14,0,4032,20.60%,23,f,0,0,7678.017673,7678.02,6500,1178.02,0,0,0,13-Jun,1655.54,,15-Dec,734,730,INDIVIDUAL
1069908,1305008,12000,12000,12000, 36 months,12.69%,402.54,B,B5,UCLA,10+ years,OWN,75000,Source Verified,11-Dec,Fully Paid,n,debt_consolidation,Consolidation,913xx,CA,10.78,0,Oct-89,675,679,0,,,12,0,23336,67.10%,34,f,0,0,13947.98916,13947.99,12000,1947.99,0,0,0,13-Sep,6315.3,,13-Aug,669,665,INDIVIDUAL
1064687,1298717,9000,9000,9000, 36 months,13.49%,305.38,C,C1,Va. Dept of Conservation/Recreation,< 1 year,RENT,30000,Source Verified,11-Dec,Charged Off,n,debt_consolidation,freedom,245xx,VA,10.08,0,4-Apr,710,714,1,,,4,0,10452,91.70%,9,f,0,0,2270.7,2270.7,1256.14,570.26,0,444.3,4.16,12-Jul,305.38,,16-Sep,619,615,INDIVIDUAL
1069866,1304956,3000,3000,3000, 36 months,9.91%,96.68,B,B1,Target,3 years,RENT,15000,Source Verified,11-Dec,Fully Paid,n,credit_card,citicard fund,606xx,IL,12.56,0,3-Jul,705,709,2,,,11,0,7323,43.10%,11,f,0,0,3480.269999,3480.27,3000,480.27,0,0,0,15-Jan,102.43,,16-Sep,734,730,INDIVIDUAL
1069057,1303503,10000,10000,10000, 36 months,10.65%,325.74,B,B2,SFMTA,3 years,RENT,100000,Source Verified,11-Dec,Charged Off,n,other,Other Loan,951xx,CA,7.06,0,May-91,720,724,2,,,14,0,11997,55.50%,29,f,0,0,7471.99,7471.99,5433.47,1393.42,0,645.1,6.3145,13-Oct,325.74,,16-Sep,654,650,INDIVIDUAL
